District,Year,Season,Average_Yield
ANURADHAPURA,1996,Yala,3828
POLONNARUWA,1996,Yala,3973
ANURADHAPURA,1997,Yala,3455
POLONNARUWA,1997,Yala,4409
ANURADHAPURA,1998,Yala,3870
POLONNARUWA,1998,Yala,4335
ANURADHAPURA,1999,Yala,4126
POLONNARUWA,1999,Yala,4365
ANURADHAPURA,2000,Yala,4248
POLONNARUWA,2000,Yala,4560
ANURADHAPURA,2001,Yala,4409
POLONNARUWA,2001,Yala,4873
ANURADHAPURA,2002,Yala,4190
POLONNARUWA,2002,Yala,4528
ANURADHAPURA,2003,Yala,3891
POLONNARUWA,2003,Yala,4474
ANURADHAPURA,2004,Yala,4117
POLONNARUWA,2004,Yala,4988
ANURADHAPURA,2005,Yala,4228
POLONNARUWA,2005,Yala,4761
ANURADHAPURA,2006,Yala,4560
POLONNARUWA,2006,Yala,4899
ANURADHAPURA,2007,Yala,4804
POLONNARUWA,2007,Yala,5057
ANURADHAPURA,2008,Yala,4396
POLONNARUWA,2008,Yala,4971
ANURADHAPURA,2009,Yala,4426
POLONNARUWA,2009,Yala,4737
ANURADHAPURA,2010,Yala,4887
POLONNARUWA,2010,Yala,5095
ANURADHAPURA,2011,Yala,4775
POLONNARUWA,2011,Yala,5028
ANURADHAPURA,2012,Yala,4049
POLONNARUWA,2012,Yala,4199
ANURADHAPURA,2013,Yala,4284
POLONNARUWA,2013,Yala,4725
ANURADHAPURA,2014,Yala,4461
POLONNARUWA,2014,Yala,4902
ANURADHAPURA,2015,Yala,4612
POLONNARUWA,2015,Yala,5131
ANURADHAPURA,2016,Yala,4295
POLONNARUWA,2016,Yala,5047
ANURADHAPURA,2017,Yala,3909
POLONNARUWA,2017,Yala,4878
ANURADHAPURA,2018,Yala,5262
POLONNARUWA,2018,Yala,5070
ANURADHAPURA,2019,Yala,5119
POLONNARUWA,2019,Yala,5511
ANURADHAPURA,2020,Yala,4936
POLONNARUWA,2020,Yala,5244
ANURADHAPURA,2021,Yala,4691
POLONNARUWA,2021,Yala,5441
ANURADHAPURA,2022,Yala,3248
POLONNARUWA,2022,Yala,4288
ANURADHAPURA,2023,Yala,4302
POLONNARUWA,2023,Yala,4918
ANURADHAPURA,2024,Yala,4863
POLONNARUWA,2024,Yala,5716
ANURADHAPURA,2025,Yala,5011.196945530252
POLONNARUWA,2025,Yala,5191.383282236132
ANURADHAPURA,1995,Maha,3700
POLONNARUWA,1995,Maha,4833
ANURADHAPURA,1996,Maha,3989
POLONNARUWA,1996,Maha,4916
ANURADHAPURA,1997,Maha,4264
POLONNARUWA,1997,Maha,4114
ANURADHAPURA,1998,Maha,4294.0
POLONNARUWA,1998,Maha,4236.0
ANURADHAPURA,1999,Maha,4400
POLONNARUWA,1999,Maha,4539
ANURADHAPURA,2000,Maha,4475.0
POLONNARUWA,2000,Maha,4948.0
ANURADHAPURA,2001,Maha,4323.0
POLONNARUWA,2001,Maha,4627.0
ANURADHAPURA,2002,Maha,4341.0
POLONNARUWA,2002,Maha,4462.0
ANURADHAPURA,2003,Maha,4524.0
POLONNARUWA,2003,Maha,5020.0
ANURADHAPURA,2004,Maha,4549.0
POLONNARUWA,2004,Maha,4992.0
ANURADHAPURA,2005,Maha,4520.0
POLONNARUWA,2005,Maha,4911.0
ANURADHAPURA,2006,Maha,4726.0
POLONNARUWA,2006,Maha,5119.0
ANURADHAPURA,2007,Maha,4311.0
POLONNARUWA,2007,Maha,4900.0
ANURADHAPURA,2008,Maha,4633
POLONNARUWA,2008,Maha,5223
ANURADHAPURA,2009,Maha,4924
POLONNARUWA,2009,Maha,5336
ANURADHAPURA,2010,Maha,4463
POLONNARUWA,2010,Maha,3831
ANURADHAPURA,2011,Maha,4982.0
POLONNARUWA,2011,Maha,5086.0
ANURADHAPURA,2012,Maha,4467.0
POLONNARUWA,2012,Maha,4889.0
ANURADHAPURA,2013,Maha,3898.0
POLONNARUWA,2013,Maha,4819.0
ANURADHAPURA,2014,Maha,4802.0
POLONNARUWA,2014,Maha,5306.0
ANURADHAPURA,2015,Maha,4748.0
POLONNARUWA,2015,Maha,5056.0
ANURADHAPURA,2016,Maha,4608.0
POLONNARUWA,2016,Maha,5080.0
ANURADHAPURA,2017,Maha,4414.0
POLONNARUWA,2017,Maha,4848.0
ANURADHAPURA,2018,Maha,5414
POLONNARUWA,2018,Maha,5075
ANURADHAPURA,2019,Maha,5574
POLONNARUWA,2019,Maha,5404
ANURADHAPURA,2020,Maha,5098
POLONNARUWA,2020,Maha,5220
ANURADHAPURA,2021,Maha,2873
POLONNARUWA,2021,Maha,3103
ANURADHAPURA,2022,Maha,3849
POLONNARUWA,2022,Maha,4416
ANURADHAPURA,2023,Maha,4637
POLONNARUWA,2023,Maha,4697
ANURADHAPURA,2024,Maha,4263
POLONNARUWA,2024,Maha,4794
