Season,Year,Rainfall,Temperature_Max,Temperature_Min
Maha,1995,972.2,31.18,22.08
Maha,1996,551.4,30.82,21.68
Maha,1997,1312.0,31.72,22.0
Maha,1998,555.6,31.7,22.72
Maha,1999,974.0,30.44,21.98
Maha,2000,872.2,30.6,21.88
Maha,2001,664.0,31.08,22.36
Maha,2002,1245.8,31.24,22.04
Maha,2003,508.7,31.02,22.34
Maha,2004,919.9,31.14,22.3
Maha,2005,800.1,31.28,22.38
Maha,2006,1152.5,30.7,22.22
Maha,2007,1021.5,30.66,21.4
Maha,2008,1126.5,30.64,21.78
Maha,2009,797.6,31.36,21.98
Maha,2010,907.3,31.18,22.34
Maha,2011,1123.7,31.02,22.14
Maha,2012,1170.2,31.46,21.98
Maha,2013,842.2,30.98,22.34
Maha,2014,1266.0,30.62,22.42
Maha,2015,991.0,31.2,22.26
Maha,2016,445.3,32.18,22.28
Maha,2017,847.6,31.42,22.24
Maha,2018,801.5,30.96,21.84
Maha,2019,1155.0,31.34,22.38
Maha,2020,476.5,31.64,22.7
Maha,2021,935.6,30.62,22.66
Maha,2022,678.0,31.12,22.16
Maha,2023,1377.1,31.02,22.42
Maha,2024,991.6,30.9,22.5
Maha,2025,1409.5,30.66,22.81
Yala,1995,414.4,32.75,24.53
Yala,1996,569.8,32.65,24.38
Yala,1997,572.0,33.22,24.33
Yala,1998,462.5,33.27,24.82
Yala,1999,292.6,32.43,24.3
Yala,2000,314.7,32.85,24.52
Yala,2001,583.2,32.8,24.47
Yala,2002,518.1,33.5,24.35
Yala,2003,493.1,33.37,24.7
Yala,2004,464.0,33.18,24.17
Yala,2005,331.6,33.37,24.63
Yala,2006,304.6,32.9,24.43
Yala,2007,355.9,32.92,24.45
Yala,2008,265.5,32.73,24.22
Yala,2009,211.1,33.22,24.67
Yala,2010,661.7,33.0,24.4
Yala,2011,310.7,33.25,24.45
Yala,2012,204.7,33.67,24.65
Yala,2013,238.5,32.67,24.48
Yala,2014,793.5,33.12,24.62
Yala,2015,771.1,33.02,24.42
Yala,2016,668.2,33.27,24.98
Yala,2017,589.8,33.72,24.45
Yala,2018,802.8,32.62,24.35
Yala,2019,622.0,33.32,24.87
Yala,2020,699.4,32.67,24.58
Yala,2021,451.6,32.78,24.62
Yala,2022,677.1,32.32,24.23
Yala,2023,287.5,33.53,24.88
Yala,2024,553.2,33.32,25.12
Yala,2025,465.1,33.08,24.98
